epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8632,1.01664,0.98901,0.91701,0.87027,0.66247,0.69994,0.56745,0.71596,9.46787,0.79989,0.000414916,0.000414916,0.000414916
2,91.7115,0.91581,0.8151,0.88476,0.95863,0.69242,0.72443,0.60051,0.67461,11.48,0.78592,0.00080414,0.00080414,0.00080414
3,138.42,0.8757,0.73283,0.8733,0.96003,0.71436,0.7438,0.61763,0.65468,10.8873,0.78086,0.00116586,0.00116586,0.00116586
4,184.389,0.85316,0.68773,0.8609,0.97361,0.7138,0.80222,0.62773,0.64829,6.23085,0.7777,0.00112625,0.00112625,0.00112625
5,230.122,0.82656,0.63898,0.85339,0.75257,0.80972,0.79802,0.63646,0.63847,3.64053,0.77371,0.001085,0.001085,0.001085
6,278.119,0.79252,0.61375,0.85306,0.80845,0.8362,0.81772,0.65806,0.60342,2.42545,0.7692,0.00104375,0.00104375,0.00104375
7,323.556,0.76945,0.60404,0.84615,0.83794,0.86732,0.83156,0.66683,0.57897,2.23471,0.76433,0.0010025,0.0010025,0.0010025
8,371.876,0.76804,0.56411,0.84197,0.84785,0.85666,0.85583,0.67269,0.60217,2.51285,0.7664,0.00096125,0.00096125,0.00096125
9,421.498,0.75646,0.56113,0.84124,0.85524,0.85921,0.86729,0.68267,0.57235,1.71709,0.75953,0.00092,0.00092,0.00092
10,473.206,0.74108,0.54034,0.83408,0.90016,0.87415,0.88629,0.69756,0.57714,1.21259,0.76064,0.00087875,0.00087875,0.00087875
11,523.842,0.73805,0.53334,0.83611,0.91192,0.88059,0.90176,0.69782,0.56081,0.93924,0.75843,0.0008375,0.0008375,0.0008375
12,576.366,0.7216,0.52523,0.83362,0.91097,0.88455,0.91184,0.70486,0.56505,0.91073,0.76067,0.00079625,0.00079625,0.00079625
13,630.957,0.70805,0.50448,0.8312,0.92525,0.88708,0.91596,0.71711,0.54368,2.04048,0.75654,0.000755,0.000755,0.000755
14,683.797,0.70059,0.51037,0.83124,0.91917,0.89404,0.92184,0.71856,0.54854,0.92227,0.75757,0.00071375,0.00071375,0.00071375
15,738.514,0.69424,0.4905,0.8306,0.92149,0.88929,0.9056,0.71727,0.54784,0.75382,0.75604,0.0006725,0.0006725,0.0006725
16,793.765,0.68783,0.48532,0.83022,0.91451,0.88826,0.90563,0.71972,0.53203,1.05331,0.75341,0.00063125,0.00063125,0.00063125
17,848.645,0.68748,0.47979,0.82569,0.9457,0.88391,0.92395,0.72487,0.52626,0.6719,0.75441,0.00059,0.00059,0.00059
18,903.331,0.68059,0.46837,0.82203,0.94763,0.89585,0.92851,0.72714,0.52621,0.66176,0.75259,0.00054875,0.00054875,0.00054875
19,957.787,0.67575,0.46987,0.82518,0.95823,0.89444,0.94155,0.73556,0.52378,0.635,0.75322,0.0005075,0.0005075,0.0005075
20,1011.6,0.66406,0.45354,0.82534,0.95064,0.91438,0.94917,0.73924,0.50951,0.6532,0.75016,0.00046625,0.00046625,0.00046625
21,1069.73,0.62818,0.43537,0.82321,0.9212,0.89185,0.92056,0.72761,0.52515,0.6369,0.75308,0.000425,0.000425,0.000425
22,1122.78,0.61906,0.41791,0.81971,0.92603,0.92457,0.93667,0.73527,0.51573,0.59549,0.75036,0.00038375,0.00038375,0.00038375
23,1176.77,0.60195,0.41199,0.81935,0.92176,0.90575,0.93385,0.73611,0.50803,0.59358,0.74939,0.0003425,0.0003425,0.0003425
24,1232.1,0.5912,0.39214,0.81364,0.93289,0.92719,0.94733,0.74582,0.50198,0.65869,0.74794,0.00030125,0.00030125,0.00030125
25,1284.91,0.58932,0.38833,0.81414,0.93598,0.92038,0.94673,0.74668,0.50206,0.55222,0.74746,0.00026,0.00026,0.00026
26,1339.57,0.5842,0.38533,0.81547,0.94415,0.9241,0.95339,0.75306,0.49482,0.59936,0.74665,0.00021875,0.00021875,0.00021875
27,1396.96,0.57265,0.37691,0.81327,0.93999,0.91761,0.94808,0.75322,0.49064,0.55525,0.74693,0.0001775,0.0001775,0.0001775
28,1457.15,0.56517,0.37118,0.80866,0.93057,0.9385,0.95491,0.75423,0.4887,0.55801,0.74632,0.00013625,0.00013625,0.00013625
29,1515.93,0.56643,0.36903,0.81044,0.93486,0.94279,0.95536,0.75614,0.48412,0.57887,0.74518,9.5e-05,9.5e-05,9.5e-05
30,1569.46,0.55502,0.54003,0.80721,0.932,0.94141,0.95366,0.7584,0.48,0.57802,0.7443,5.375e-05,5.375e-05,5.375e-05
