epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,53.333,1.20209,1.69594,1.42126,0.95354,0,0.62516,0.59139,0.65343,0.5108,0.62139,0.59224,0.65135,0.41613,0.76888,1.15283,11.5825,0.82218,0,0.000414916,0.000414916,0.000414916
2,107.983,0.92623,1.32151,0.93921,0.88047,0,0.93715,0.65487,0.71355,0.58573,0.93608,0.65588,0.71301,0.49895,0.68548,0.98397,11.2439,0.79964,0,0.00080414,0.00080414,0.00080414
3,169.438,0.85447,1.20284,0.81211,0.8621,0,0.96168,0.68229,0.72715,0.61024,0.96109,0.68153,0.72528,0.53118,0.65322,0.92328,11.3515,0.79191,0,0.00116586,0.00116586,0.00116586
4,230.668,0.82616,1.13082,0.74528,0.84976,0,0.93804,0.71899,0.78178,0.62411,0.93665,0.71774,0.76481,0.54415,0.63746,0.89058,11.1519,0.78427,0,0.00112625,0.00112625,0.00112625
5,291.921,0.78344,1.06221,0.68694,0.83932,0,0.85893,0.7733,0.84057,0.65422,0.79566,0.75236,0.78206,0.55084,0.58747,0.82004,5.97932,0.77654,0,0.001085,0.001085,0.001085
6,353.349,0.75929,1.03941,0.65522,0.84072,0,0.82721,0.83551,0.86344,0.66941,0.79318,0.81098,0.82488,0.57675,0.57284,0.78848,5.80497,0.77387,0,0.00104375,0.00104375,0.00104375
7,414.088,0.74432,1.00619,0.64242,0.83652,0,0.85829,0.84542,0.87836,0.68152,0.7925,0.82408,0.81275,0.57205,0.55613,0.76238,4.61596,0.76997,0,0.0010025,0.0010025,0.0010025
8,474.918,0.73177,0.97382,0.60109,0.83213,0,0.83522,0.87904,0.89955,0.69653,0.78737,0.84167,0.83027,0.57938,0.53695,0.77231,11.7033,0.76592,0,0.00096125,0.00096125,0.00096125
9,539.821,0.7064,0.95261,0.58693,0.82963,0,0.88057,0.88556,0.90215,0.69597,0.82415,0.87176,0.84268,0.57909,0.53907,0.74626,3.26221,0.76558,0,0.00092,0.00092,0.00092
10,607.537,0.69812,0.92707,0.56615,0.82362,0,0.8686,0.88392,0.89352,0.698,0.83228,0.84821,0.83689,0.58733,0.53845,0.72633,4.32484,0.76476,0,0.00087875,0.00087875,0.00087875
